key,registrationMoment,passengerEmail,description,type,key:assistanceAgent,key:leg,draftMode
#base entity
claim-00,2024/02/02 00:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit amet consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,SECURITY_INCIDENT,agent-01,leg-15,TRUE
#registration moment
claim-01,2010/07/02 0:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit amet consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,SECURITY_INCIDENT,agent-01,leg-15,TRUE
claim-02,2000/01/02 00:01,acme@lorem-ipsum.org,Lorem ipsum dolor sit amet consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,SECURITY_INCIDENT,agent-01,leg-15,TRUE
claim-03,2000/01/02 00:20,acme@lorem-ipsum.org,Lorem ipsum dolor sit amet consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,SECURITY_INCIDENT,agent-01,leg-15,TRUE
claim-04,2024/12/31 23:59,acme@lorem-ipsum.org,Lorem ipsum dolor sit amet consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,SECURITY_INCIDENT,agent-01,leg-15,TRUE
claim-05,2025/01/01 0:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit amet consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,SECURITY_INCIDENT,agent-01,leg-15,TRUE
#passenger email,""
claim-06,2024/02/02 00:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit amet consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,SECURITY_INCIDENT,agent-01,leg-15,TRUE
claim-07,2024/02/02 00:00,a@b.e,Lorem ipsum dolor sit amet consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,SECURITY_INCIDENT,agent-01,leg-15,TRUE
claim-08,2024/02/02 00:00,a@b.es,Lorem ipsum dolor sit amet consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,SECURITY_INCIDENT,agent-01,leg-15,TRUE
claim-09,2024/02/02 00:00,a@b.esx,Lorem ipsum dolor sit amet consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,SECURITY_INCIDENT,agent-01,leg-15,TRUE
claim-10,2024/02/02 00:00,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu,Lorem ipsum dolor sit amet consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,SECURITY_INCIDENT,agent-01,leg-15,TRUE
claim-11,2024/02/02 00:00,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org,Lorem ipsum dolor sit amet consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,SECURITY_INCIDENT,agent-01,leg-15,TRUE
#description
claim-12,2024/02/02 00:00,acme@lorem-ipsum.org,L,SECURITY_INCIDENT,agent-01,leg-15,TRUE
claim-13,2024/02/02 00:00,acme@lorem-ipsum.org,Lo,SECURITY_INCIDENT,agent-01,leg-15,TRUE
claim-14,2024/02/02 00:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor,SECURITY_INCIDENT,agent-01,leg-15,TRUE
claim-15,2024/02/02 00:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit amet consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*,SECURITY_INCIDENT,agent-01,leg-15,TRUE
claim-16,2024/02/02 00:00,acme@lorem-ipsum.org,โลเร็ม อิปซัม,SECURITY_INCIDENT,agent-01,leg-15,TRUE
claim-17,2024/02/02 00:00,acme@lorem-ipsum.org,لوريم إيبسوم,SECURITY_INCIDENT,agent-01,leg-15,TRUE
