key,enabled,identity,password,username
user-account-administrator-02,true,"UserIdentity{name: 'Administrator', surname: 'One', email: 'administrator1@acme.com'}",administrator1,administrator1
user-account-administrator-03,true,"UserIdentity{name: 'Administrator', surname: 'Two', email: 'administrator2@acme.com'}",administrator2,administrator2
user-account-consumer-01,true,"UserIdentity{name: 'Peter', surname: 'Consumer', email: 'peter@acme.com'}",consumer1,consumer1
user-account-consumer-02,true,"UserIdentity{name: 'Mary', surname: '貸んい建濯よ芝弾テソ Λορεμ ιπσθμ', email: 'mary@acme.com'}",consumer2,consumer2
user-account-consumer-03,true,"UserIdentity{name: 'Manolo', surname: '之乎路可良 ᏥᏲᏎᎭ', email: 'manolo@acme.com'}",consumer3,consumer3
user-account-provider-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",provider1,provider1
user-account-provider-02,true,"UserIdentity{name: 'Martina', surname: 'коза თხა', email: 'martina@acme.com'}",provider2,provider2
user-account-provider-03,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",provider3,provider3
user-account-customer-00,true,"UserIdentity{name: 'Customer', surname: 'Zero', email: 'customer0@acme.com'}",customer0,customer0
user-account-customer-01,true,"UserIdentity{name: 'Customer', surname: 'One', email: 'customer1@acme.com'}",customer1,customer1
user-account-customer-02,true,"UserIdentity{name: 'Customer', surname: 'Two', email: 'customer2@acme.com'}",customer2,customer2
user-account-customer-03,true,"UserIdentity{name: 'Customer', surname: 'Three', email: 'customer3@acme.com'}",customer3,customer3
user-account-customer-04,true,"UserIdentity{name: 'Customer', surname: 'Four', email: 'customer4@acme.com'}",customer4,customer4
user-account-customer-05,true,"UserIdentity{name: 'Customer', surname: 'Five', email: 'customer5@acme.com'}",customer5,customer5
user-account-customer-06,true,"UserIdentity{name: 'Customer', surname: 'Six', email: 'customer6@acme.com'}",customer6,customer6
user-account-customer-07,true,"UserIdentity{name: 'Customer', surname: 'Seven', email: 'customer7@acme.com'}",customer7,customer7
user-account-customer-08,true,"UserIdentity{name: 'Customer', surname: 'Eight', email: 'customer8@acme.com'}",customer8,customer8
user-account-customer-09,true,"UserIdentity{name: 'Customer', surname: 'Nine', email: 'customer9@acme.com'}",customer9,customer9
user-account-customer-10,true,"UserIdentity{name: 'Customer', surname: 'Ten', email: 'customer10@acme.com'}",customer10,customer10
user-account-customer-11,true,"UserIdentity{name: 'Customer', surname: 'Eleven', email: 'customer11@acme.com'}",customer11,customer11
user-account-customer-12,true,"UserIdentity{name: 'Customer', surname: 'Twelve', email: 'customer12@acme.com'}",customer12,customer12
user-account-customer-13,true,"UserIdentity{name: 'Customer', surname: 'Thirteen', email: 'customer13@acme.com'}",customer13,customer13
user-account-customer-14,true,"UserIdentity{name: 'Customer', surname: 'Fourteen', email: 'customer14@acme.com'}",customer14,customer14
user-account-customer-15,true,"UserIdentity{name: 'Customer', surname: 'Fifteen', email: 'customer15@acme.com'}",customer15,customer15
user-account-customer-16,true,"UserIdentity{name: 'Customer', surname: 'Sixteen', email: 'customer16@acme.com'}",customer16,customer16
user-account-customer-17,true,"UserIdentity{name: 'Customer', surname: 'Seventeen', email: 'customer17@acme.com'}",customer17,customer17
user-account-customer-18,true,"UserIdentity{name: 'Customer', surname: 'Eighteen', email: 'customer18@acme.com'}",customer18,customer18
user-account-customer-19,true,"UserIdentity{name: 'Customer', surname: 'Nineteen', email: 'customer19@acme.com'}",customer19,customer19
user-account-customer-20,true,"UserIdentity{name: 'Customer', surname: 'Twenty', email: 'customer20@acme.com'}",customer20,customer20
user-account-customer-21,true,"UserIdentity{name: 'Customer', surname: 'TwentyOne', email: 'customer21@acme.com'}",customer21,customer21
user-account-customer-22,true,"UserIdentity{name: 'Customer', surname: 'TwentyTwo', email: 'customer22@acme.com'}",customer22,customer22
user-account-customer-23,true,"UserIdentity{name: 'Customer', surname: 'TwentyThree', email: 'customer23@acme.com'}",customer23,customer23
user-account-customer-24,true,"UserIdentity{name: 'Customer', surname: 'TwentyFour', email: 'customer24@acme.com'}",customer24,customer24
user-account-customer-25,true,"UserIdentity{name: 'Customer', surname: 'TwentyFive', email: 'customer25@acme.com'}",customer25,customer25
user-account-customer-26,true,"UserIdentity{name: 'Customer', surname: 'TwentySix', email: 'customer26@acme.com'}",customer26,customer26
